clade_name	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Ruminococcus_torques;t__SGB4608	0.0	0.0	0.0	0.0	0.0	0.0	3.31571	0.0	0.88141
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister_invisus;t__SGB5825_group	0.0	0.0	0.0	0.0	0.0	0.0	2.35656	0.6274	3.95544
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_bouvetii;t__SGB10385	0.0	0.0	0.0	0.0	0.0	0.0	0.89488	0.65028	3.692
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Zoogloea;s__Zoogloea_sp_1C4;t__SGB88267	0.0	0.0	0.0	0.0	0.0	0.0	0.84852	4.22001	2.06157
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus;s__Tessaracoccus_flavescens;t__SGB15911	0.0	0.0	0.0	0.0	0.0	0.0	0.61665	0.63315	0.55251
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_parasanguinis;t__SGB8071	0.0	0.0	0.0	0.0	0.0	0.0	0.24632	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Phnomibacter;s__Phnomibacter_ginsenosidimutans;t__SGB78201	0.0	0.0	0.0	0.0	0.0	0.0	0.04775	1.8201	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_solisilvae;t__SGB78912	0.0	0.0	0.0	0.0	0.0	0.0	0.01267	1.50934	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_eutactus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61183	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus_sulfuroxidans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36664	0.0
