GENE	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	BH34A_S98	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH34B_S99	BFH38A_S156	BH49_S110	BFH30_S148
aadA2_1_NC_010870	175	1	136	67	158	43	173	158	70	5	7	91	220	282	214	288	58	178	23	2	152	5	48	1	241	11	2	134	0	21	133	3	67	1	181	122	2	113	106	12	123	85	64	98	73	159	75	99	21	61	84	133	124	99	7	3	0	1439	86	145	14	1	111	49	31	1	183	106	148	30	159	170	0	14	0	95	10	53	24	245	295	88	194	59	222	196	172	71	57	28	73	1	145	242	207	103
aadD_2_M19465	0	0	0	0	1	2	0	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	126	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	7	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	3	0	0	3	2	2
aph(2'')-Ib_2_AF207840	0	0	0	0	10	0	10	0	0	1	0	0	0	0	8	2	0	0	0	0	0	0	0	0	4	0	0	9	0	0	4	0	0	0	4	3	0	0	0	0	3	0	2	4	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	4	0	0	0	12	0	0	0	0	8	0	0	0	2	0	0	0	0	2	17	2	0	1	0	3	0	0	0	36	0	10	0	19	1
aph(7'')-Ia_1_X03615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(9)-Ia_2_CR628337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Ia_2_Y00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Id_1_M28829	94	9	352	50	890	169	992	517	617	360	126	300	100	172	283	224	272	133	36	4	415	40	45	2	309	38	4	135	1	44	179	6	147	1	101	156	48	320	241	57	1124	171	261	693	159	258	68	187	29	48	137	362	927	604	53	1	179	112	231	1248	22	4	32	57	34	1	322	163	262	57	72	133	1	85	5	239	49	52	43	367	300	66	1151	104	406	245	1189	591	74	49	112	7	149	390	372	340
aph(6)-Id_3_AB109805	44	10	210	21	396	69	488	326	302	164	47	155	52	157	140	144	141	74	23	2	355	30	25	2	168	17	1	110	2	14	101	1	84	1	70	74	21	230	165	33	721	145	107	410	89	170	58	120	15	22	78	210	436	725	30	0	85	56	171	682	15	1	15	21	21	4	206	75	130	38	31	85	1	32	0	150	24	25	24	341	189	48	797	47	167	213	1554	331	28	16	49	2	117	201	185	189
aph(6)-Id_4_CP000971	94	9	289	39	704	124	703	402	479	294	79	229	78	145	234	183	228	98	28	4	321	33	32	1	251	30	1	94	5	31	127	2	132	2	92	119	44	265	246	47	818	132	157	567	135	209	62	144	21	38	82	326	784	495	48	4	128	101	205	994	10	2	29	29	33	1	268	122	193	42	66	97	2	50	4	203	51	36	33	281	228	58	916	80	302	210	899	488	75	38	86	5	126	280	299	225
aph(6)-Id_5_18676889	66	8	268	35	592	114	748	405	470	273	56	200	73	122	218	172	190	101	33	4	287	43	42	2	216	27	3	103	5	21	137	2	117	4	88	120	37	223	200	50	781	120	231	536	144	192	55	128	23	38	132	277	701	475	48	1	126	91	201	937	7	3	20	47	32	3	233	123	208	40	49	98	2	53	5	164	46	32	26	308	246	47	828	75	355	185	777	451	56	41	94	3	100	224	278	227
aph(3'')-Ia_2_AP009493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3'')-Ia_3_M37378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3'')-Ib_1_M28829	45	3	164	22	454	76	460	266	432	126	50	125	51	94	146	122	164	56	16	2	169	23	19	1	103	23	3	78	9	18	98	1	74	0	70	72	30	128	157	65	428	89	113	349	88	155	52	71	23	31	227	248	514	286	30	2	131	46	126	462	13	1	11	36	14	0	179	76	146	22	30	58	2	18	1	109	24	19	23	293	137	43	433	43	339	177	570	310	31	17	51	0	85	214	163	181
aph(3'')-Ib_3_AF321550	78	6	202	46	402	86	603	311	303	287	57	211	67	131	153	172	148	93	32	6	319	25	27	1	225	22	1	107	5	18	126	6	95	3	83	127	28	245	149	52	806	143	261	463	95	205	59	139	24	28	166	199	388	471	49	4	96	88	175	988	12	3	16	30	30	1	226	78	161	53	48	87	1	33	3	153	48	24	28	326	219	48	1007	72	302	184	971	370	48	19	92	5	102	206	298	174
aph(3'')-Ib_4_AF313472	75	6	372	22	295	74	495	222	226	247	103	149	63	83	127	139	130	68	29	5	262	19	27	1	172	23	1	81	3	15	92	4	124	1	59	101	20	185	128	42	620	109	212	333	60	146	49	103	18	16	110	164	434	363	42	1	69	77	126	770	14	0	16	22	19	2	183	60	121	38	47	67	1	43	1	139	29	21	23	227	215	36	685	50	202	129	728	258	41	14	67	5	98	151	197	137
